ED_x,ED_y
31368.0198,-3092.297336
31368.02028,-3092.271425
31368.02076,-3092.245511
31368.02125,-3092.219594
31368.02173,-3092.193675
31368.02221,-3092.167752
31368.0227,-3092.141827
31368.02319,-3092.115899
31368.02368,-3092.089968
31368.02417,-3092.064035
31368.02466,-3092.038098
31368.02515,-3092.012159
31368.02564,-3091.986218
31368.02614,-3091.960274
31368.02663,-3091.934327
31368.02713,-3091.908377
31368.02763,-3091.882425
31368.02812,-3091.85647
31368.02862,-3091.830513
31368.02912,-3091.804553
31368.02962,-3091.778591
31368.03013,-3091.752626
31368.03063,-3091.726659
31368.03113,-3091.700689
31368.03164,-3091.674717
31368.03215,-3091.648742
31368.03265,-3091.622765
31368.03316,-3091.596786
31368.03367,-3091.570804
31368.03418,-3091.54482
31368.03469,-3091.518833
31368.0352,-3091.492844
31368.03571,-3091.466853
31368.03622,-3091.440859
31368.03674,-3091.414864
31368.03725,-3091.388866
31368.03777,-3091.362865
31368.03829,-3091.336863
31368.0388,-3091.310858
31368.03932,-3091.284851
31368.03984,-3091.258842
31368.04036,-3091.232831
31368.04088,-3091.206818
31368.04141,-3091.180802
31368.04193,-3091.154785
31368.04246,-3091.128765
31368.04298,-3091.102743
31368.04351,-3091.076719
31368.04404,-3091.050693
31368.04457,-3091.024666
31368.0451,-3090.998636
31368.04563,-3090.972604
31368.04616,-3090.94657
31368.04669,-3090.920534
31368.04723,-3090.894496
31368.04776,-3090.868456
31368.0483,-3090.842415
31368.04883,-3090.816371
31368.04937,-3090.790326
31368.04991,-3090.764278
31368.05045,-3090.738229
31368.05099,-3090.712178
31368.05153,-3090.686125
31368.05207,-3090.660071
31368.05262,-3090.634014
31368.05316,-3090.607956
31368.05371,-3090.581896
31368.05425,-3090.555834
31368.0548,-3090.52977
31368.05535,-3090.503705
31368.0559,-3090.477638
31368.05645,-3090.451569
31368.057,-3090.425499
31368.05755,-3090.399427
31368.0581,-3090.373353
31368.05866,-3090.347278
31368.05921,-3090.3212
31368.05977,-3090.295122
31368.06033,-3090.269042
31368.06088,-3090.24296
31368.06144,-3090.216876
31368.062,-3090.190791
31368.06256,-3090.164705
31368.06312,-3090.138616
31368.06369,-3090.112527
31368.06425,-3090.086436
31368.06482,-3090.060343
31368.06538,-3090.034249
31368.06595,-3090.008153
31368.06652,-3089.982056
31368.06708,-3089.955958
31368.06765,-3089.929858
31368.06822,-3089.903756
31368.0688,-3089.877653
31368.06937,-3089.851549
31368.06994,-3089.825443
31368.07052,-3089.799336
31368.07109,-3089.773228
31368.07167,-3089.747118
31368.07224,-3089.721007
31368.07282,-3089.694895
31368.0734,-3089.668781
31368.07398,-3089.642666
31368.07456,-3089.61655
31368.07515,-3089.590432
31368.07573,-3089.564313
31368.07631,-3089.538193
31368.0769,-3089.512072
31368.07748,-3089.485949
31368.07807,-3089.459825
31368.07866,-3089.4337
31368.07925,-3089.407574
31368.07984,-3089.381446
31368.08043,-3089.355318
31368.08102,-3089.329188
31368.08161,-3089.303057
31368.08221,-3089.276925
31368.0828,-3089.250792
31368.0834,-3089.224657
31368.08399,-3089.198522
31368.08459,-3089.172385
31368.08519,-3089.146248
31368.08579,-3089.120109
31368.08639,-3089.093969
31368.08699,-3089.067828
31368.08759,-3089.041686
31368.08819,-3089.015543
31368.0888,-3088.989399
31368.0894,-3088.963254
31368.09001,-3088.937108
31368.09062,-3088.910961
31368.09122,-3088.884813
31368.09183,-3088.858664
31368.09244,-3088.832514
31368.09305,-3088.806363
31368.09367,-3088.780211
31368.09428,-3088.754059
31368.09489,-3088.727905
31368.09551,-3088.70175
31368.09612,-3088.675595
31368.09674,-3088.649438
31368.09736,-3088.623281
31368.09798,-3088.597123
31368.0986,-3088.570964
31368.09922,-3088.544804
31368.09984,-3088.518643
31368.10046,-3088.492481
31368.10108,-3088.466319
31368.10171,-3088.440155
31368.10233,-3088.413991
31368.10296,-3088.387826
31368.10359,-3088.361661
31368.10422,-3088.335494
31368.10485,-3088.309327
31368.10548,-3088.283159
31368.10611,-3088.25699
31368.10674,-3088.230821
31368.10737,-3088.204651
31368.10801,-3088.17848
31368.10864,-3088.152308
31368.10928,-3088.126136
31368.10991,-3088.099962
31368.11055,-3088.073789
31368.11119,-3088.047614
31368.11183,-3088.021439
31368.11246,-3087.995263
31368.1131,-3087.969086
31368.11374,-3087.942909
31368.11438,-3087.916731
31368.11502,-3087.890552
31368.11566,-3087.864373
31368.11629,-3087.838193
31368.11693,-3087.812013
31368.11756,-3087.785831
31368.11819,-3087.759649
31368.11882,-3087.733466
31368.11945,-3087.707283
31368.12007,-3087.681099
31368.12069,-3087.654914
31368.1213,-3087.628728
31368.12191,-3087.602542
31368.12251,-3087.576355
31368.1231,-3087.550167
31368.1237,-3087.523979
31368.12429,-3087.49779
31368.12487,-3087.4716
31368.12545,-3087.44541
31368.12604,-3087.41922
31368.12661,-3087.393029
31368.12719,-3087.366837
31368.12777,-3087.340645
31368.12835,-3087.314452
31368.12893,-3087.288259
31368.12951,-3087.262066
31368.13009,-3087.235872
31368.13067,-3087.209678
31368.13126,-3087.183483
31368.13184,-3087.157288
31368.13244,-3087.131093
31368.13303,-3087.104898
31368.13363,-3087.078702
31368.13423,-3087.052505
31368.13483,-3087.026309
31368.13543,-3087.000112
31368.13604,-3086.973915
31368.13665,-3086.947717
31368.13727,-3086.921519
31368.13788,-3086.895321
31368.1385,-3086.869123
31368.13911,-3086.842924
31368.13973,-3086.816725
31368.14035,-3086.790525
31368.14097,-3086.764326
31368.14158,-3086.738126
31368.1422,-3086.711925
31368.14282,-3086.685724
31368.14344,-3086.659523
31368.14405,-3086.633322
31368.14467,-3086.607121
31368.14528,-3086.580919
31368.1459,-3086.554717
31368.14651,-3086.528514
31368.14712,-3086.502311
31368.14774,-3086.476108
31368.14835,-3086.449905
31368.14896,-3086.423702
31368.14958,-3086.397498
31368.15019,-3086.371294
31368.1508,-3086.34509
31368.15142,-3086.318886
31368.15203,-3086.292682
31368.15265,-3086.266477
31368.15327,-3086.240272
31368.15389,-3086.214067
31368.15451,-3086.187862
31368.15513,-3086.161657
31368.15575,-3086.135452
31368.15637,-3086.109246
31368.157,-3086.08304
